username,firstname,lastname,password,streetAddress,city,seatingPreference,typeOfSeat,town,town2,numPassengers,firstAndLastName2,firstAndLastName3
jojo,Jojo,Bean,bean,Maya,Moscow,Aisle,First,Zurich,Zurich,1,,
petr565,Petr,Glebov,dfggd,Stepnaya,Kiev,Window,Business,Portland,Portland,2,Petr Glebov,
oleg54,Oleg,Dolgov,dfhgd,Novaya,Varshava,None,Coach,San Francisco,San Francisco,3,Petr Glebov,Lena Kuka
artem478,Artem,Kras,fhjh,Staraya,Andorra,Aisle,First,Seattle,Seattle,1,,
sergei5646,Sergei,Sergeev,hkjg,Mira,Madrid,Window,Business,Sydney,Sydney,2,Sergei Sergeev,
olya84,Olya,Pees,hoph,Krupskoi,Riga,None,Coach,Frankfurt,Frankfurt,3,Sergei Sergeev,Olya Pees
lena54,Lena,Kuka,dfdg,Lenina,Ottava,Aisle,First,London,London,1,,
kirill1d,Kirill,Mefodiev,hgnh,Pushkina,Bern,Window,Business,Los Angeles,Los Angeles,2,Kirill Mefodiev,
masha484,Masha,Nasha,jhiy,Otradnaya,Nicca,None,Coach,Paris,Paris,3,Kirill Mefodiev,Masha Nasha
lucifer666,Lucifer,Dennica,etrww,Colacola,Value,Aisle,First,London,London,1,,
