username,firstname,lastname,password,streetAddress,city,seatingPreference,typeOfSeat,town,town2,firstAndLastName2,firstAndLastName3,roundtrip
jojo,Jojo,Bean,bean,Maya,Moscow,Aisle,First,Zurich,Zurich,Pe Glebov,Lena Kuka,
petr565,Petr,Glebov,dfggd,Stepnaya,Kiev,Window,Business,Portland,Portland,Petr Glebov,Lena Kuk,
oleg54,Oleg,Dolgov,dfhgd,Novaya,Varshava,None,Coach,San Francisco,San Francisco,Petr Gleb,Lena Ku,on
artem478,Artem,Kras,fhjh,Staraya,Andorra,Aisle,First,Seattle,Seattle,Sergei Sergeev,Len Kuka,
sergei5646,Sergei,Sergeev,hkjg,Mira,Madrid,Window,Business,Sydney,Sydney,Sergei Ser,Olya Pees,
olya84,Olya,Pees,hoph,Krupskoi,Riga,None,Coach,Frankfurt,Frankfurt,Ser Sergeev,Olya Pee,on
lena54,Lena,Kuka,dfdg,Lenina,Ottava,Aisle,First,London,London,Kir Mefodiev,Olya Pe,
kirill1d,Kirill,Mefodiev,hgnh,Pushkina,Bern,Window,Business,Los Angeles,Los Angeles,Kirill Mef,Ol Pees,
masha484,Masha,Nasha,jhiy,Otradnaya,Nicca,None,Coach,Paris,Paris,Kirill Mefod,Masha Nas,on
lucifer666,Lucifer,Dennica,etrww,Colacola,Value,Aisle,First,London,London,K Mefodiev,Mas Nasha,
